Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,0.693251,0.715610,0.675041,0.698854,0.698854,51321953
2021-06-15,0.711267,0.737348,0.692223,0.712430,0.712430,45665209
2021-06-16,0.710882,0.755004,0.687594,0.706831,0.706831,92411095
2021-06-17,0.708213,0.730905,0.669261,0.689797,0.689797,48515154
2021-06-18,0.690381,0.690381,0.617605,0.646830,0.646830,46260884
2021-06-19,0.647718,0.660589,0.625350,0.633016,0.633016,31617557
2021-06-20,0.631497,0.636526,0.579340,0.624595,0.624595,43009422
2021-06-21,0.623752,0.626329,0.462960,0.464865,0.464865,68706769
2021-06-22,0.464085,0.507584,0.373717,0.436780,0.436780,86824353
2021-06-23,0.437189,0.510550,0.415313,0.488502,0.488502,63859880
2021-06-24,0.504504,0.549976,0.469087,0.526644,0.526644,49192644
2021-06-25,0.526323,0.545392,0.467185,0.474439,0.474439,44687139
2021-06-26,0.473179,0.489998,0.438596,0.468862,0.468862,36847295
2021-06-27,0.470484,0.494324,0.454260,0.493622,0.493622,31258804
2021-06-28,0.493604,0.515955,0.484328,0.506810,0.506810,34141119
2021-06-29,0.507474,0.562818,0.505752,0.547257,0.547257,43836559
2021-06-30,0.549834,0.580907,0.514488,0.580023,0.580023,54994687
2021-07-01,0.580019,0.596296,0.523892,0.552599,0.552599,50710401
2021-07-02,0.550714,0.558713,0.510870,0.539899,0.539899,31471121
2021-07-03,0.539151,0.572736,0.529747,0.559197,0.559197,30737592
2021-07-04,0.559170,0.598556,0.540764,0.580483,0.580483,47432938
2021-07-05,0.580365,0.580365,0.533860,0.547645,0.547645,46720451
2021-07-06,0.546944,0.631578,0.546702,0.613633,0.613633,149327989
2021-07-07,0.614137,0.787742,0.608543,0.723781,0.723781,503459272
2021-07-08,0.724229,0.845927,0.622915,0.641034,0.641034,598405680
2021-07-09,0.641020,0.720367,0.600077,0.697471,0.697471,303670865
2021-07-10,0.694736,0.785469,0.682711,0.752219,0.752219,429496159
2021-07-11,0.750019,0.783366,0.719759,0.744221,0.744221,200862556
2021-07-12,0.744939,0.744939,0.663693,0.678573,0.678573,137513155
2021-07-13,0.678372,0.709717,0.643915,0.650678,0.650678,160121287
2021-07-14,0.650651,0.744624,0.589235,0.716695,0.716695,277951110
2021-07-15,0.714017,0.756096,0.643189,0.660184,0.660184,338543310
2021-07-16,0.661204,0.683336,0.605419,0.608306,0.608306,140192790
2021-07-17,0.606878,0.616514,0.589470,0.604513,0.604513,96421838
2021-07-18,0.604852,0.650567,0.600115,0.612160,0.612160,110279511
2021-07-19,0.612503,0.615644,0.556856,0.559303,0.559303,69867035
2021-07-20,0.560847,0.563628,0.494948,0.517784,0.517784,93066464
2021-07-21,0.517518,0.588050,0.503009,0.579066,0.579066,120436334
2021-07-22,0.579338,0.603997,0.571077,0.590954,0.590954,130753190
2021-07-23,0.590863,0.686140,0.584185,0.675563,0.675563,277764119
2021-07-24,0.675389,0.757114,0.661610,0.717151,0.717151,353133833
2021-07-25,0.716614,0.740061,0.675167,0.709946,0.709946,195728025
2021-07-26,0.709234,0.751734,0.673482,0.691163,0.691163,241821292
2021-07-27,0.689946,0.732298,0.639640,0.696180,0.696180,186004475
2021-07-28,0.698867,0.713284,0.672756,0.690113,0.690113,146363205
2021-07-29,0.690988,0.718704,0.673322,0.705371,0.705371,137190369
2021-07-30,0.707824,0.720578,0.677880,0.720390,0.720390,122143917
2021-07-31,0.719581,0.730849,0.698584,0.719192,0.719192,97941367
2021-08-01,0.717525,0.746163,0.675440,0.688013,0.688013,123458565
2021-08-02,0.686239,0.713455,0.675909,0.691242,0.691242,89480689
